0 4 4  JCCC..JDDL.MJAAL.MFF...NBB.GGN.HH...
0 6 4  JCCC..JDD...JAAL.MFF.L.MBB.GGN.HH..N
0 5 4  J.CCCMJ.DD.MJAAL.NFF.L.NBB.GG..HH...
0 5 4  J.CCC.JDD...JAAL.MFF.L.MBB.GGN.HH..N
0 4 4  J.CCCMJDD..MJAAL.NFF.L.NBB.GG..HH...
0 6 4  J.CCCMJ..DDMJAAL.NFF.L.NBB.GG..HH...
0 5 4  JCCC..J..DDMJAAL.MFF.L..BB.GGN.HH..N
0 6 4  J.CCC.J.DD..JAAL.MFF.L.MBB.GGN.HH..N
0 2 4  JCCC..J.DD.MJAAL.MFF.L.NBB.GGN.HH...
0 5 4  J.CCCMJ..DDMJAAL.NFF.L.NBB.GG..HH...
0 1 4  J..CCCJDDL.MJAAL.MFF...NBB.GGN.HH...
0 5 4  JCCC.MJDDL.MJAAL.NFF...NBB.GG..HH...
0 5 4  JCCC..J..DD.JAAL.MFF.L.MBB.GGN.HH..N
0 5 4  JCCC..JDDL.MJAAL.MFF....BB.GGN.HH..N
0 4 4  JCCC..J.DD.MJAAL.MFF.L.NBB.GGN.HH...
0 2 4  JCCC..JDDL.MJAAL.MFF...NBB.GGN.HH...
0 7 4  J.CCCMJDDL.MJAAL.NFF...NBB.GG..HH...
0 4 4  JCCC.MJ..DDMJAAL.NFF.L.NBB.GG..HH...
0 6 4  J.CCC.JDDL..JAAL.MFF...MBB.GGN.HH..N
0 2 4  JCCC..J..DDMJAAL.MFF.L.NBB.GGN.HH...
0 5 4  J.CCCMJDDL.MJAAL.NFF...NBB.GG..HH...
0 1 4  J..CCCJ..DDMJAAL.MFF.L.NBB.GGN.HH...
0 4 4  JCCC..JDD...JAAL.MFF.L.MBB.GGN.HH..N
0 5 4  J.CCC.J.DD.MJAAL.MFF.L.NBB.GGN.HH...
0 6 4  JCCC.MJDD..MJAAL.NFF.L.NBB.GG..HH...
0 4 4  JCCC.MJDD..MJAAL.NFF.L.NBB.GG..HH...
0 5 4  J.CCCMJDDL.MJAAL.NFF...NBB.GG..HH...
0 4 4  JCCC.MJ.DD.MJAAL.NFF.L.NBB.GG..HH...
0 1 4  J..CCCJ.DD.MJAAL.MFF.L.NBB.GGN.HH...
0 4 4  JCCC..J..DDMJAAL.MFF.L.NBB.GGN.HH...
0 2 4  J.CCC.JDD..MJAAL.MFF.L.NBB.GGN.HH...
0 9 4  J.CCC.J.DD..JAAL.MFF.L.MBB.GGN.HH..N
0 8 4  J.CCC.J.DD..JAAL.MFF.L.MBB.GGN.HH..N
0 5 4  JCCC.MJ..DDMJAAL.NFF.L.NBB.GG..HH...
0 5 4  JCCC..J.DD..JAAL.MFF.L.MBB.GGN.HH..N
0 9 4  J.CCCMJ.DD.MJAAL.NFF.L.NBB.GG..HH...
0 6 4  J.CCC.JDDL.MJAAL.MFF....BB.GGN.HH..N
0 4 4  JCCC.MJDDL.MJAAL.NFF...NBB.GG..HH...
0 4 4  J.CCC.JDD..MJAAL.MFF.L.NBB.GGN.HH...
